Bigram,Frequency
"('kg', 'snatch')",89
"('bearer', 'closing')",89
"('jump', 'parisolympics')",89
"('le', 'jo')",89
"('men', 'speed')",88
"('olympicgamesparis2024', 'olympics')",88
"('india', 'pakistan')",87
"('india', 'proud')",86
"('harmanpreet', 'singh')",86
"('akani', 'simbine')",86
"('nikki', 'hiltz')",86
"('lyles', '🏆')",86
"('snoop', 'dogg')",86
"('javelin', 'final')",85
"('📈', '🥇')",85
"('pole', 'vault')",85
"('javelinthrow', 'olympics')",85
"('tebogo', 'botswana')",85
"('🏅', 'event')",84
"('tara', 'golden')",84
"('una', 'misma')",84
"('📈', 'arshad')",83
"('rebeca', 'andrade')",83
"('ever', '🥇')",83
"('india', 'hockey')",82
"('triple', 'jump')",81
"('arshadnadeem', 'olympicgames')",81
"('closing', 'ceremony')",81
"('weightlifting', 'men')",81
"('usabasketball', 'olympics2024')",81
"('serbia', 'advance')",80
"('🏅', '👥')",80
"('men', 'parisolympics')",80
"('paris', 'else')",80
"('indonesia', 'weightlifting')",80
"('jo', 'paris2024')",80
"('paris2024', 'readyfor24')",80
"('made', 'nation')",80
"('ever', 'botswana')",79
"('history', 'pakistan')",79
"('arshad', 'first')",79
"('swimming', '👥')",79
"('african', '🏅')",79
"('person', 'ever')",79
"('men', 'paris2024')",79
"('botswana', 'first')",79
"('event', 'paris2024')",79
"('🎮', 'first')",79
"('chopra', 'said')",79
"('first', 'person')",79
"('letsile', 'tebogohe')",79
"('sur', 'le')",79
"('history', 'letsile')",79
"('tebogohe', '🏆')",79
"('📈', 'first')",79
"('olympics', 'african')",79
"('woman', 'volleyball')",78
"('kennybednarek', 'lylesnoah')",78
"('pour', 'la')",78
"('🥇', 'woman')",77
"('break', '🌎')",77
"('history', 'parisolympics')",77
"('country', 'proud')",77
"('🏆', 'olympics2024')",77
"('ceremony', 'parisolympics')",76
"('look', 'paris2024')",76
"('teamindia', 'paris2024')",76
"('tokyo', 'olympics')",76
"('athletics', 'paris2024')",76
"('woman', 'olympic')",75
"('throw', 'event')",75
"('testament', 'dedication')",75
"('🥇', 'silver')",75
"('olympics2024', 'parisolympics2024')",74
"('history', '🏆')",74
"('primer', 'lugar')",74
"('🥇', 'arshadnadeem')",74
"('bronze', 'medalist')",74
"('sydney', 'mclaughlin')",74
"('field', 'athlete')",74
"('final', 'en')",74
"('nation', 'pride')",74
"('le', 'direct')",74
"('olympicgamesparis2024', 'olympics2024')",73
"('congratulation', 'winning')",73
"('angkat', 'besi')",73
"('juniansyah', 'iwfnet')",73
"('paris', 'olympic')",73
"('ever', '🏆')",73
"('sur', 'lomnium')",73
"('winning', 'bronze')",73
"('year', 'ago')",72
"('first', 'men')",72
"('🏅', '🥇')",72
"('parisolympics', 'paris2024')",72
"('yusuf', 'dikec')",72
"('final', 'leg')",72
"('mclaughlinlevrone', 'break')",71
"('men', 'hockey')",71
"('men', 'basketball')",71
"('🥇', 'olympics')",71
"('🏅', 'hockey')",71
"('male', 'track')",71
"('athlete', 'compete')",71
"('time', 'olympic')",70
"('first', '🏅')",70
"('kg', 'putra')",70
"('putra', 'untuk')",70
"('recordrizki', 'juniansyah')",70
"('first', 'olympics')",70
"('sukses', 'menyumbang')",70
"('menyumbang', 'emas')",70
"('emas', 'angkat')",70
"('besi', 'kg')",70
"('olympic', 'recordrizki')",70
"('champ', 'paris2024')",70
"('usa', 'artistic')",70
"('winning', 'men')",70
"('juniansyah', 'sukses')",70
"('indonesia', 'total')",70
"('total', 'kg')",70
"('snatch', 'kg')",70
"('kg', 'clean')",70
"('jerk', 'kg')",70
"('kg', 'orsportsterlengkapadadividio')",70
"('orsportsterlengkapadadividio', 'bawapulangmedali')",70
"('medalist', 'parisolympics')",70
"('sportclimbing', 'paris2024')",69
"('olympic', 'javelin')",69
"('quan', 'hongchan')",69
"('paris2024', 'getty')",69
"('secure', 'bronze')",69
"('📈', 'olympique')",69
"('📈', 'sydney')",69
"('set', 'new')",69
"('olympic', 'gamesparis2024')",68
"('que', 'lo')",68
"('parisolympics', 'olympics')",68
"('achievement', 'make')",68
"('paris', 'olympics2024')",68
"('didnt', '🏆')",67
"('chopra', 'bringing')",67
"('second', 'attempt')",67
"('throw', 'second')",67
"('parisolympics', 'teamusa')",67
"('parisolympics2024', 'paris2024')",67
"('zhou', 'yaqin')",67
"('hall', '🏆')",67
"('botswana', 'letsile')",67
"('u', 'proud')",67
"('paris2024', '🥇')",67
"('🏅', 'weightlifting')",67
"('striking', 'cool')",66
"('getty', 'imagesjulian')",66
"('ifsclimbing', 'sportclimbing')",66
"('imagesjulian', 'finney')",66
"('broke', 'internet')",66
"('jasmine', 'moore')",66
"('second', 'woman')",66
"('attempt', 'paris2024')",66
"('jump', 'long')",66
"('internet', 'paris2024')",66
"('une', 'chute')",66
"('olympics2024', 'usa')",66
"('malgr', 'une')",66
"('usain', 'bolt')",66
"('lifter', 'indonesia')",66
"('dikec', 'broke')",66
"('javelin', '📈')",66
"('athlete', 'olympics')",66
"('thing', 'athlete')",66
"('yes', 'thing')",66
"('di', 'paris2024')",66
"('cool', 'stance')",66
"('pakistani', 'arshad')",66
"('stance', 'turkish')",66
"('indonesia', 'pertama')",66
"('turkish', 'silver')",66
"('medalist', 'yusuf')",66
"('sincronizados', 'trampoln')",66
"('du', 'cio')",66
"('pertama', 'dalam')",66
"('olympics', 'striking')",66
"('madalya', 'ile')",65
"('indonesia', 'sport')",65
"('bronze', 'usabmnt')",65
"('dont', 'play')",65
"('come', 'paris2024')",65
"('play', 'bronze')",65
"('medalist', 'time')",65
"('cooking', 'paris2024')",65
"('alice', 'damato')",65
"('bronze', 'medallist')",65
"('la', 'france')",65
"('name', 'history')",65
"('etched', 'name')",65
"('generational', 'cooking')",65
"('usa', 'men')",65
"('men', 'woman')",65
"('instant', 'classic')",64
"('mondo', 'duplantis')",64
"('silver', 'woman')",64
"('performance', 'parisolympics')",64
"('phenomenal', 'performance')",64
"('woman', 'ever')",64
"('classic', 'usabmnt')",64
"('youre', 'watching')",64
"('trackandfield', 'paris2024')",64
"('olympics2024paris', 'olympicgamesparis2024')",64
"('hockey', 'teamindia')",64
"('botswana', 'olympic')",63
"('india', 'first')",63
"('gave', 'hvala')",63
"('hvala', 'serbia')",63
"('serbia', 'paris2024')",63
"('final', 'big')",63
"('big', 'arshad')",63
"('nadeem', 'neerajchopra1')",63
"('do', 'medallas')",63
"('south', 'africa')",63
"('neerajchopra1', 'anderson')",63
"('peter', 'paris2024')",63
"('back', 'back')",63
"('climbing', 'men')",63
"('olympics2024', 'news')",63
"('🏅', 'woman')",62
"('neerajchopra', 'arshadnadeem')",62
"('season', 'best')",62
"('latestupdates', 'india')",62
"('medallista', 'olmpico')",62
"('olympicgames', 'olympicgamesparis2024')",62
"('india', 'abpnews')",62
"('worldathletics', 'athletics')",62
"('woman', 'real')",62
"('time', 'paris2024')",62
"('hindi', 'hindinews')",62
"('south', 'asiayour')",62
"('latestnews', 'latestupdates')",62
"('make', 'entire')",62
"('entire', 'region')",62
"('region', 'proudarashadnadeem')",62
"('proudarashadnadeem', 'neerajchopra')",62
"('news', 'hindi')",62
"('goldand', 'silver')",62
"('sur', 'piste')",62
"('symbol', 'resistance')",62
"('resistance', 'spread')",62
"('spread', 'olympics')",62
"('paris2024', 'woman')",62
"('real', 'xx')",62
"('olympics', 'south')",62
"('asiayour', 'incredible')",62
"('bringing', 'goldand')",62
"('summer', 'olympics')",62
"('applause', 'arshad')",62
"('huge', 'applause')",62
"('estados', 'unidos')",62
"('american', '🏆')",62
"('whistleforindia', 'paris2024')",62
"('hindinews', 'latestnews')",62
"('moment', 'olympic')",61
"('complete', 'paris2024')",61
"('paris2024', 'semifinal')",61
"('semifinal', 'comebacksteph')",61
"('comebacksteph', 'bron')",61
"('mother', 'seratiwa')",61
"('🥇', 'mother')",61
"('dedicates', '🥇')",61
"('year', 'brief')",61
"('tebogo', 'dedicates')",61
"('passed', 'year')",61
"('point', 'usa')",61
"('bron', 'kd')",61
"('final', 'point')",61
"('top', '🌎')",61
"('scoring', 'final')",61
"('brief', 'illnessparis2024')",61
"('illnessparis2024', 'olympics')",61
"('usa', 'complete')",61
"('seratiwa', 'tebogo')",61
"('kathryn', 'plummer')",61
"('comeback', 'quincy')",61
"('arshadnadeem', 'neerajchopra')",61
"('tebogo', 'passed')",61
"('iconic', 'duo')",61
"('proud', 'arshad')",61
"('arrogant', 'loud')",61
"('im', 'arrogant')",61
"('olympics', '🏅')",61
"('thats', 'hurdle')",61
"('level', 'thats')",61
"('mclaughlinlevrone', 'level')",61
"('second', 'consecutive')",61
"('📈', 'look')",61
"('sam', 'watson')",60
"('dhak', 'dhak')",60
"('name', 'iconic')",60
"('nbcolympics', 'peacockparisolympics')",60
"('daviswoodhall', 'first')",60
"('noah', 'lylesparis2024')",60
"('person', 'noah')",60
"('loud', 'person')",60
"('asked', 'winning')",60
"('final', 'aspires')",60
"('face', 'athletics')",60
"('tebogo', 'asked')",60
"('boxing', 'paris2024')",60
"('answeri', 'cant')",60
"('fieldhere', 'answeri')",60
"('track', 'fieldhere')",60
"('face', 'track')",60
"('📈', 'face')",60
"('aspires', '🌎')",60
"('cant', 'face')",60
"('athletics', 'im')",60
"('woman', 'sport')",60
"('javelin', '👑')",60
"('📈', 'javelin')",60
"('broken', 'olympics')",60
"('🏅', 'botswana')",60
"('woman', 'history')",60
"('dans', 'la')",60
"('botswana', 'history')",60
"('history', 'tebogo')",60
"('tebogo', 'area')",60
"('alive', 'usabmnt')",60
"('time', 'alive')",60
"('vineshphogat', 'paris2024')",60
"('forever', 'grateful')",60
"('duo', 'usabmnt')",60
"('ginstica', 'rtmica')",60
"('first', 'athlete')",60
"('olympics2024', 'comedy')",59
"('anthem', 'moment')",59
"('men', 'iwfnet')",59
"('dominates', 'winning')",59
"('back', 'olympic')",59
"('dans', 'le')",59
"('comedy', 'sketch')",59
"('olympicsmontypython', 'olympics2024')",59
"('le', 'franais')",59
"('bladder', 'marathon')",59
"('weak', 'bladder')",59
"('petition', 'weak')",59
"('marathon', 'next')",59
"('next', 'olympicsmontypython')",59
"('missile', 'men')",59
"('throw', 'final9297m')",59
"('history', 'maker')",59
"('final9297m', 'olympic')",59
"('📈', 'attempt')",59
"('attempt', 'goparis2024')",59
"('goparis2024', 'olympics')",59
"('can', 'not')",59
"('absolute', 'missile')",59
"('launch', 'absolute')",59
"('tebogo', '🏆')",59
"('nadeem', 'launch')",59
"('historic', '🥇')",59
"('african', 'olympics2024')",59
"('done', 'african')",59
"('competition', 'well')",59
"('african', 'competition')",59
"('silver', 'parisolympics')",59
"('olympic', 'championparisolympics')",59
"('🏅', 'count')",59
"('ever', 'olympic')",58
"('clinch', '🥇')",58
"('best', 'olympic')",58
"('pakistan', 'men')",58
"('juniansyah', 'dominates')",58
"('nadeem', 'worldathletics')",58
"('nadeem', 'shine')",58
"('shine', 'earning')",58
"('earning', '🥇')",58
"('firstever', 'athletic')",58
"('cowgirl', 'queenparisolympics')",58
"('silver', 'medalistparisolympics')",58
"('🥇', 'arshad')",58
"('📈', 'pakistan')",58
"('history', 'bbcolympics')",58
"('la', 'candidature')",58
"('paris2024', 'sur')",58
"('🥇', 'tokyo')",58
"('moment', 'nation')",58
"('athletic', '🥇')",58
"('pakistan', 'firstever')",58
"('medallas', 'en')",58
"('look', 'u')",58
"('paris2024', 'madeforsharing')",58
"('athleticsparis2024', 'samsung')",58
"('worldathletics', 'athleticsparis2024')",58
"('thrownocpakistan', 'worldathletics')",58
"('javelin', 'thrownocpakistan')",58
"('cheer4bharat', 'parisolympics')",57
"('cheer4india', 'cheer4bharat')",57
"('achievement', 'winning')",57
"('luanaalonso', 'parisolympics')",57
"('volleyball', '👥')",57
"('misma', 'edicin')",57
"('watch', 'luanaalonso')",57
"('broke', '📈')",57
"('🥇', 'veddriq')",57
"('leonardo', 'clinch')",57
"('paris2024', 'venezpartager')",57
"('legend', 'usabmnt')",57
"('speed', 'personal')",57
"('second', 'ifsclimbing')",57
"('en', 'una')",57
"('👑', 'daviswoodhall')",57
"('capilla', 'melbourne')",57
"('olympic', 'legend')",57
"('tebogo', 'done')",57
"('title', 'running')",57
"('dogg', 'make')",57
"('africa', 'letsile')",57
"('tebogo', 'olympic')",57
"('done', 'africatebogo')",57
"('celebration', 'keep')",57
"('keep', 'giving')",57
"('giving', 'paris2024')",57
"('nest', 'pa')",57
"('olympics2024', 'india')",57
"('leave', 'hereparisolympics')",57
"('africatebogo', 'taken')",57
"('na', 'leave')",57
"('taken', 'noah')",57
"('running', 'new')",57
"('🥇', 'botswanaparis2024')",57
"('stand', 'africa')",57
"('lifeparis2024', 'x')",57
"('avenger', 'real')",57
"('real', 'lifeparis2024')",57
"('botswanaparis2024', 'olympics')",56
"('nadeem', 'arshadolympian1')",56
"('curry', 'point')",56
"('huge', 'prparis2024')",56
"('🏅', 'huge')",56
"('arshadolympian1', 'brings')",56
"('home', 'historic')",56
"('paris2024', 'youve')",56
"('proud', 'young')",56
"('talk', 'anna')",56
"('🏅', 'men')",56
"('sure', 'simone')",56
"('orgullo', 'mexicano')",56
"('swimming', 'parisolympics')",56
"('mirabai', 'chanu')",56
"('paris2024', 'olympics2024paris')",56
"('experience', 'parisolympics')",56
"('full', 'experience')",56
"('trampoln', 'trampoln')",56
"('bile', 'full')",56
"('🏆', 'back')",56
"('young', 'man')",56
"('rcords', 'do')",56
"('wassup', 'olympics')",56
"('heavenly', 'father')",56
"('father', 'ill')",56
"('ill', 'forever')",56
"('zambiakuchalo', 'teamyatu')",56
"('second', 'paris2024')",56
"('thats', 'wassup')",56
"('paris2024', 'runningwithtumisole')",56
"('thank', 'much')",56
"('do', 'mexicano')",56
"('melbourne', 'plataforma')",56
"('javelinthrow', 'neerajchopra')",56
"('olympics2024', 'arshadnadeem')",56
"('plataforma', 'trampoln')",56
"('watch', 'paris2024')",56
"('much', 'heavenly')",56
"('grateful', 'zambiakuchalo')",56
"('olvera', 'paris2024')",56
"('trampoln', 'aos')",56
"('👑', 'arshad')",56
"('ganaron', 'do')",56
"('paris2024', 'sincronizados')",56
"('bravo', 'arshad')",56
"('despusosmar', 'olvera')",56
"('aos', 'despusosmar')",56
"('mexicano', 'ganaron')",56
"('madepakistans', 'first')",56
"('edicin', 'juegosolmpicosjoaqun')",56
"('history', 'madepakistans')",56
"('juegosolmpicosjoaqun', 'capilla')",56
"('arshad', 'history')",56
"('parisolympics', 'amazing')",55
"('teamusa', 'gillilandgroup')",55
"('gillilandgroup', 'wealthplanning')",55
"('boy', 'neerajchopra')",55
"('tarruh', 'long')",55
"('plan', 'requires')",55
"('johngillilandrbc', 'olympics2024')",55
"('overcome', 'johngillilandrbc')",55
"('help', 'overcome')",55
"('wealth', 'plan')",55
"('jump', 'olympic')",55
"('requires', 'help')",55
"('paris2024', 'final')",55
"('final', 'stephen')",55
"('congratulation', 'indian')",55
"('advance', 'paris2024')",55
"('hall', 'put')",55
"('amazing', 'effort')",55
"('golden', 'tarruh')",55
"('rest', '🌎')",55
"('effort', '🏆')",55
"('neerajchopra', 'olympics')",55
"('faith', 'kipyegon')",55
"('olympics2024', 'iraniangirl')",55
"('became', 'first')",55
"('title', 'woman')",55
"('neeraj', 'whistleforindia')",55
"('tebogo', 'history')",55
"('🏆', 'hurdle')",55
"('comfortable', 'retirement')",55
"('retirement', 'wealth')",55
"('maker', 'olympics')",55
"('🥇', '🏆')",55
"('curry', 'reflects')",55
"('man', '🏆')",55
"('long', 'timestephen')",55
"('many', 'obstacle')",55
"('fight', 'woman')",55
"('parisolympics', 'olympics2024paris')",55
"('obstacle', 'comfortable')",55
"('🥇', 'letsile')",55
"('timestephen', 'curry')",55
"('reflects', '👥')",55
"('ive', 'long')",55
"('fun', 'ive')",55
"('🏆', 'phenomenal')",55
"('ceremony', 'paris')",55
"('symbol', 'woman')",54
"('massive', 'throw')",54
"('🌎', 'lady')",54
"('peak', '🌎')",54
"('x', 'symbol')",54
"('olympics2024', 'karachi')",54
"('send', 'year')",54
"('woman', 'losing')",54
"('water', 'polo')",54
"('comeback', 'parisolympics')",54
"('🏆', 'bronze')",54
"('whole', '👥')",54
"('la', 'final')",54
"('🏅', 'victory')",54
"('hurdle', 'parisolympics')",54
"('losing', 'men')",54
"('karachiites', 'cheering')",54
"('medalarshadnadeem', 'olympics2024')",54
"('🥇', 'medalarshadnadeem')",54
"('gimnasia', 'rtmica')",54
"('massive', 'olympics')",54
"('time', 'massive')",54
"('nadeem', 'time')",54
"('paris2024', 'im')",54
"('cheering', 'arshad')",54
"('first', '🥇')",54
"('excellent', 'paris2024')",54
"('sydney', 'mclaughlinlevrones')",54
"('said', 'olympics2024')",54
"('im', 'peak')",54
"('del', 'rey')",53
"('punch', 'back')",53
"('🌎', 'watch')",53
"('head', '🌎')",53
"('back', 'head')",53
"('tebogo', 'made')",53
"('dirty', 'punch')",53
"('finished', 'dirty')",53
"('ku', 'chalo')",53
"('chalo', 'thank')",53
"('tebogo', 'mom')",53
"('teamyatu', 'goldenmoments')",53
"('goldenmoments', 'olympics2024')",53
"('paris2024', 'mulungupasogolo')",53
"('mulungupasogolo', 'muzalasamukonga')",53
"('matter', 'second')",53
"('shot', 'put')",53
"('made', 'morocco')",53
"('morocco', 'paris2024')",53
"('second', 'matter')",53
"('sixth', 'second')",53
"('africa', 'sixth')",53
"('family', 'botswana')",53
"('take', 'south')",53
"('sprinter', 'take')",53
"('passed', 'sprinter')",53
"('heat', 'passed')",53
"('simbine', 'men')",53
"('finish', 'akani')",53
"('sport', 'rope')",53
"('rope', 'finished')",53
"('relay', 'heat')",53
"('zambia', 'ku')",53
"('mom', 'family')",53
"('lylesnoah', 'paris2024')",53
"('way', 'hurdle')",53
"('domination', 'way')",53
"('secure', 'olympic')",53
"('heart', 'worldwide')",53
"('captured', 'heart')",53
"('winning', 'first')",53
"('proud', 'paris2024')",53
"('holloway', 'domination')",53
"('cest', 'fait')",53
"('moment', 'right')",53
"('right', 'specialparis2024')",53
"('botswana', 'africa')",53
"('italy', 'alice')",52
"('bitch', 'swanson')",52
"('time', 'bitch')",52
"('yaqin', 'noticed')",52
"('noticed', 'fellow')",52
"('fellow', 'winner')",52
"('winner', 'italy')",52
"('arshadnadeem', 'olympics')",52
"('andy', 'macdonald')",52
"('photo', 'credit')",52
"('🏅', 'wanted')",52
"('damato', 'manila')",52
"('biting', '🏅')",52
"('manila', 'esposito')",52
"('opening', 'ceremony')",52
"('credit', 'espn')",52
"('u', 'men')",52
"('esposito', 'biting')",52
"('paris2024', 'men')",52
"('teamindia', 'olympics')",52
"('wanted', 'fun')",52
"('👥', 'final')",52
"('swanson', 'sophia')",52
"('beam', '🏅')",52
"('video', 'cry')",52
"('lquipe', 'france')",52
"('cry', 'time')",52
"('italian', 'got')",52
"('got', 'rest')",52
"('🌎', 'eat')",52
"('mclaughlinlevrone', 'first')",52
"('eat', 'pizza')",52
"('sophia', 'bang')",52
"('pizza', 'balance')",52
"('fun', 'photo')",52
"('et', 'nbc')",52
"('backtoback', 'parisolympics')",52
"('china', 'zhou')",52
"('bang', 'bang')",52
"('olympics2024', 'germanyvsunitedstates')",52
"('bang', 'paris2024')",52
"('🏅', 'backtoback')",52
"('🏅', 'recipient')",52
"('recipient', 'china')",52
"('tebogo', 'stuns')",51
"('hadi', 'saravi')",51
"('france', 'paris2024')",51
"('american', '🥇')",51
"('far', 'american')",51
"('pour', 'un')",51
"('winner', 'olympics2024')",51
"('advance', 'final')",51
"('🏅', '📈')",51
"('🥇', 'winner')",51
"('always', '🥇')",51
"('jogos', 'olmpicos')",51
"('proud', 'wish')",51
"('mean', '🏅')",51
"('olympics', 'teamindia')",51
"('skipper', 'india')",51
"('🥇', 'skipper')",51
"('olympics2024', 'title')",51
"('championyoull', 'always')",51
"('olympic', 'flame')",51
"('dragflicking', 'championyoull')",51
"('title', 'new')",51
"('🏅', 'thank')",51
"('thank', 'furthering')",51
"('furthering', 'nation')",51
"('future', 'dragflicking')",51
"('pride', 'neeraj')",51
"('little', 'know')",51
"('thomas', 'get')",51
